,DATE,SEX,AGE,AREA,INCOME,SEOUL,GYEONGI,BUSAN,CHUNGNAM,CHUNGBUK,GYEONGNAM,GYEONGBUK,JEONNAM,JEONBUK,GANGWON,JEJU
1431,20221107,1,1,0,4,2,2,2,2,2,0,0,2,2,2,3
1432,20221107,0,3,3,2,2,2,2,2,2,2,2,2,2,2,3
1433,20221107,0,2,15,4,2,2,2,2,2,2,2,2,2,3,2
1434,20221107,1,2,9,2,2,2,2,2,2,1,1,3,2,2,3
1435,20221107,0,1,1,2,2,2,3,1,2,3,3,2,2,1,2
1436,20221107,1,1,15,4,2,2,2,2,2,2,2,2,2,2,2
1437,20221107,0,4,6,3,1,1,3,2,2,2,2,3,3,2,2
1438,20221107,1,2,8,2,2,2,3,2,2,2,2,2,2,3,3
1439,20221107,0,1,1,2,2,2,3,2,2,2,3,2,2,2,0
1441,20221107,1,3,2,2,3,3,2,3,4,1,3,2,2,2,4
1442,20221107,0,0,1,1,4,3,2,2,2,1,2,0,0,1,2
1444,20221107,0,4,1,4,2,2,2,2,2,1,1,1,1,4,3
1445,20221107,1,4,10,4,3,2,3,2,2,2,3,2,2,2,3
1446,20221107,1,3,1,1,2,2,2,2,2,2,2,2,2,2,2
1447,20221107,1,1,14,2,1,2,2,2,3,1,1,3,2,2,3
1448,20221107,1,3,2,4,3,2,3,3,3,2,2,1,1,2,4
1449,20221107,0,0,1,4,2,2,2,2,2,2,2,2,2,2,2
1450,20221107,1,4,7,1,2,2,2,2,2,2,2,2,2,2,2
1451,20221107,1,4,8,4,0,3,3,2,2,1,1,1,2,3,4
1452,20221107,0,3,10,4,2,2,3,2,2,2,2,2,2,3,3
1453,20221107,0,3,1,4,2,3,3,3,3,3,3,3,3,3,4
1454,20221107,1,0,0,1,1,2,2,3,2,2,3,3,2,2,3
1455,20221107,0,3,13,2,1,1,1,1,1,1,0,1,1,1,2
1456,20221107,1,4,10,2,2,1,2,2,1,1,2,0,0,3,3
1457,20221107,1,2,1,3,1,2,2,2,0,2,2,2,2,2,2
1458,20221107,1,2,1,3,2,3,3,0,0,4,4,2,2,3,4
1459,20221107,0,3,1,2,1,2,3,2,2,2,2,3,2,2,3
1460,20221107,0,0,1,2,2,2,3,1,1,1,1,1,2,2,2
1461,20221107,0,1,1,1,1,2,1,1,1,1,2,0,3,1,3
1462,20221107,1,2,1,3,3,3,3,1,3,3,2,3,2,3,3
1464,20221107,1,4,7,4,2,2,2,2,2,2,2,2,2,2,2
1465,20221107,0,3,1,4,3,3,3,2,2,3,2,1,2,3,2
1466,20221107,0,3,6,2,4,3,4,2,2,3,4,3,3,4,3
1468,20221107,1,3,14,2,2,3,2,2,2,3,3,2,2,4,4
1469,20221107,1,3,1,4,2,2,3,2,2,2,2,2,2,2,2
1470,20221107,1,2,1,3,2,2,2,2,2,3,2,3,3,3,4
1471,20221107,0,2,1,3,3,1,2,2,2,2,2,3,2,2,3
1472,20221107,1,2,7,4,4,3,2,2,2,2,1,2,1,3,3
1473,20221107,1,3,14,2,2,2,2,2,2,2,2,2,2,2,2
1474,20221107,0,4,2,2,2,2,2,2,2,2,2,3,3,2,3
1475,20221107,1,4,14,4,2,2,2,2,2,2,2,2,2,3,1
1476,20221107,0,3,6,3,2,2,1,2,2,2,3,3,3,3,1
1477,20221107,0,3,8,2,2,2,2,2,2,2,2,2,2,2,2
1478,20221107,0,0,3,1,2,1,2,3,3,3,2,0,3,3,1
1479,20221107,1,3,12,4,2,2,3,2,2,2,2,2,3,2,1
1480,20221107,1,3,1,4,4,4,4,4,4,4,4,4,4,4,4
1481,20221107,0,2,0,3,1,2,2,1,0,1,2,3,2,2,1
1482,20221107,0,2,11,3,2,2,3,2,2,3,2,3,2,2,0
1483,20221107,1,2,9,2,3,1,2,1,1,2,3,2,2,2,2
1484,20221107,0,4,3,1,1,2,2,3,2,2,1,4,3,4,0
1486,20221107,0,3,1,4,2,2,2,3,3,1,2,2,3,2,4
1487,20221107,0,2,13,2,2,2,2,2,2,2,2,2,2,2,2
1488,20221107,0,3,1,4,1,2,2,3,1,1,1,3,3,3,2
1489,20221107,0,1,8,1,2,2,2,2,2,2,2,2,2,2,2
1490,20221107,1,2,3,2,2,4,4,3,2,4,2,2,3,3,2
1491,20221107,1,1,2,2,1,1,2,1,1,2,2,1,1,1,1
1492,20221107,0,1,8,2,4,2,1,2,2,4,4,0,0,3,2
1493,20221107,1,1,10,3,2,2,2,2,1,3,0,3,2,2,1
1494,20221107,1,3,12,3,3,4,3,2,2,0,1,2,2,4,3
1496,20221107,1,2,4,3,3,2,2,2,2,2,2,2,3,3,3
1497,20221114,1,3,7,3,2,1,2,0,1,1,1,0,1,2,1
1498,20221114,1,3,7,3,1,1,2,2,2,3,2,3,3,3,2
1499,20221114,1,3,14,2,0,2,1,2,4,0,0,0,0,3,2
1500,20221114,1,2,7,3,2,2,2,2,2,2,1,3,2,3,0
1502,20221114,1,2,7,2,3,2,2,2,2,2,2,3,2,4,1
1503,20221114,1,2,4,2,4,4,4,3,2,2,2,2,3,4,4
1504,20221114,1,2,2,3,2,2,2,2,2,2,2,2,2,3,2
1505,20221114,1,2,13,2,3,1,3,2,2,1,2,3,2,4,2
1506,20221114,1,1,1,2,2,2,2,2,2,2,2,2,2,3,2
1507,20221114,1,1,1,4,1,1,3,1,1,2,1,1,1,2,2
1508,20221114,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2
1509,20221114,1,1,1,3,2,2,2,1,2,3,2,2,1,3,1
1510,20221114,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2
1511,20221114,1,1,2,3,2,2,2,4,4,4,4,4,4,4,4
1512,20221114,1,1,2,1,3,3,3,3,2,4,3,2,2,2,4
1513,20221114,1,1,2,2,4,3,4,2,2,2,2,2,3,4,2
1514,20221114,1,0,1,4,2,2,4,2,2,2,1,2,2,3,3
1515,20221114,1,0,1,4,3,2,3,3,2,2,3,2,2,2,3
1516,20221114,1,0,1,2,2,2,4,3,2,2,2,3,2,3,2
1518,20221114,1,0,1,4,3,2,1,3,2,4,1,3,2,0,3
1519,20221114,1,0,0,4,3,3,4,3,2,0,3,2,2,2,4
1520,20221114,0,4,10,2,2,3,2,3,2,0,1,1,1,4,1
1521,20221114,0,4,10,4,3,3,3,2,2,2,2,3,2,3,2
1522,20221114,0,3,1,4,2,2,3,2,2,2,3,2,2,2,3
1523,20221114,0,3,1,2,0,2,3,2,2,2,3,3,2,2,3
1524,20221114,0,3,1,4,1,2,2,2,2,2,2,2,2,3,3
1525,20221114,0,3,1,4,2,2,3,2,2,3,2,3,3,3,4
1526,20221114,0,3,1,3,2,2,2,2,2,2,2,2,2,2,3
1527,20221114,0,3,1,1,0,0,0,0,0,0,0,2,0,3,0
1528,20221114,0,3,1,3,3,2,2,2,2,2,2,2,2,3,3
1529,20221114,0,3,1,4,1,2,2,2,2,3,3,1,2,2,2
1530,20221114,0,3,1,4,2,2,2,2,2,2,0,2,2,2,2
1531,20221114,0,3,1,3,3,2,2,2,3,2,2,3,3,2,2
1532,20221114,0,3,1,2,0,2,2,0,0,2,2,2,1,3,0
1533,20221114,0,3,5,4,3,1,3,1,2,2,2,1,1,3,2
1534,20221114,0,2,1,2,0,2,2,2,2,2,1,2,2,3,2
1535,20221114,0,2,1,4,2,1,2,1,1,3,3,3,2,2,3
1536,20221114,0,2,1,2,3,3,3,2,2,2,2,2,2,3,3
1537,20221114,0,2,1,4,4,4,4,1,1,1,2,3,3,4,4
1538,20221114,0,2,1,2,1,0,1,2,3,2,3,2,1,1,1
1539,20221114,0,2,1,2,0,2,3,2,1,2,1,3,2,3,4
1540,20221114,0,2,1,2,2,2,2,2,2,2,2,2,2,2,2
1541,20221114,0,2,1,3,2,2,2,2,2,2,2,2,2,2,2
1542,20221114,0,2,5,2,2,2,2,2,2,2,2,2,2,2,2
1543,20221114,0,2,5,4,3,2,3,2,2,2,2,2,2,3,3
1544,20221114,0,2,10,2,1,2,2,1,2,3,3,1,1,1,2
1545,20221114,0,2,10,2,3,2,3,2,2,2,3,2,2,3,0
1546,20221114,0,2,4,4,2,2,2,2,2,2,2,3,3,3,2
1547,20221114,0,2,9,3,2,2,1,3,2,2,2,3,3,4,3
1548,20221114,0,2,9,2,3,2,3,2,2,2,2,2,2,3,2
1549,20221114,0,2,2,3,4,2,2,2,2,1,2,2,2,3,3
1550,20221114,0,2,2,4,2,2,1,2,2,2,2,3,3,3,1
1551,20221114,0,0,4,1,2,2,3,3,2,2,2,1,2,3,3
1552,20221114,0,3,8,1,2,2,4,2,2,2,2,3,2,3,4
1553,20221114,1,4,1,4,2,2,2,2,3,1,1,0,2,3,4
1554,20221114,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2
1555,20221114,0,0,8,3,2,2,3,3,2,3,2,2,2,2,4
1556,20221114,0,0,1,2,1,1,3,2,2,3,2,3,2,3,1
1557,20221114,0,0,1,4,2,1,4,4,3,2,2,0,1,3,1
1558,20221114,0,0,1,2,2,2,3,2,3,3,2,2,2,3,3
1559,20221114,0,1,8,2,3,2,3,3,0,0,0,0,0,3,3
1560,20221114,0,4,8,1,2,3,1,1,2,2,1,3,1,4,1
1561,20221114,1,0,8,4,0,0,3,4,0,0,3,2,0,2,4
1562,20221114,1,0,8,4,2,2,3,3,2,2,2,3,2,3,2
1563,20221114,1,2,8,3,3,2,2,2,2,3,1,2,3,3,3
1564,20221114,1,3,8,4,2,2,4,1,1,3,3,2,2,3,4
1565,20221114,1,2,8,3,1,3,4,4,4,4,4,4,4,4,4
1566,20221114,0,2,8,4,2,2,3,0,2,2,2,1,0,3,3
1567,20221114,0,2,8,2,2,1,0,0,0,0,0,0,0,0,2
1568,20221114,1,1,8,3,3,3,3,2,1,1,1,3,1,3,3
1569,20221114,0,4,8,3,2,2,3,2,2,2,2,3,2,2,1
1571,20221114,1,2,8,4,2,2,2,2,3,3,3,2,2,1,4
1572,20221114,1,4,8,3,2,2,2,2,2,4,2,3,3,3,4
1573,20221114,0,0,10,2,2,4,4,2,2,1,2,2,2,3,3
1574,20221114,1,1,14,4,4,2,4,3,2,3,3,3,2,4,4
1575,20221114,1,0,8,3,0,1,0,1,1,1,1,1,1,1,1
1576,20221114,1,2,8,3,2,3,3,2,2,0,2,0,2,3,2
1577,20221114,0,3,2,2,1,3,2,3,2,3,2,2,1,3,2
1578,20221114,1,1,14,3,2,3,3,2,2,2,2,2,2,2,3
1579,20221114,0,3,11,4,2,2,3,3,3,3,2,2,3,2,3
1580,20221114,0,4,6,3,2,2,3,1,3,3,3,3,2,3,2
1582,20221114,1,3,1,3,2,1,3,1,1,2,3,3,2,2,2
1583,20221114,1,0,3,2,2,2,1,2,2,2,2,2,2,3,2
1584,20221114,1,0,14,1,2,1,1,1,1,0,2,1,1,3,3
1585,20221114,0,1,1,4,0,0,0,0,0,0,0,0,0,0,2
1586,20221114,0,0,12,4,3,3,3,1,1,1,0,0,2,0,4
1587,20221114,0,3,15,2,2,2,2,2,2,1,3,2,1,2,1
1588,20221114,1,3,11,4,3,3,3,2,2,2,2,3,2,2,1
1589,20221114,0,0,12,3,2,1,2,3,3,3,3,3,2,2,4
1590,20221114,1,0,2,4,4,2,2,3,3,2,1,4,4,4,4
1591,20221114,1,4,8,1,2,1,3,2,2,2,3,1,1,1,2
1592,20221114,0,1,15,4,1,2,2,1,1,1,1,1,1,3,3
1593,20221114,1,0,3,4,4,3,4,2,2,2,3,3,2,3,4
1594,20221114,0,4,1,1,0,2,4,2,3,4,3,0,0,4,4
1596,20221114,0,1,7,3,4,0,0,3,2,1,2,4,1,3,3
1597,20221114,1,4,14,1,2,1,2,1,1,1,1,1,1,1,2
1598,20221114,0,4,1,3,0,2,2,1,3,2,3,2,2,3,4
1599,20221114,1,3,10,4,2,2,3,2,2,3,2,2,2,4,4
1600,20221114,0,3,10,2,2,2,3,3,2,3,4,1,1,3,3
1601,20221114,1,1,8,3,2,2,4,2,3,2,3,2,2,2,4
1602,20221114,0,0,10,1,2,1,3,2,2,1,3,2,2,3,3
1603,20221114,0,0,12,1,2,2,2,2,2,2,2,2,2,2,2
1604,20221114,0,4,1,4,2,2,3,1,1,2,2,0,2,2,3
1605,20221114,1,4,12,1,2,2,2,2,2,2,2,2,2,2,2
1606,20221114,1,3,0,2,2,1,2,1,1,1,1,1,1,2,2
1607,20221114,1,2,1,3,2,2,0,1,3,4,3,3,3,2,2
1608,20221114,1,2,1,2,4,2,4,2,2,2,2,3,2,4,4
1609,20221114,1,4,8,4,2,2,3,2,2,2,2,2,2,2,3
1610,20221114,1,2,8,4,3,1,3,1,1,1,2,2,2,2,1
1611,20221114,1,3,11,3,3,3,2,2,2,1,1,1,3,1,2
1612,20221114,0,1,1,1,2,2,2,2,2,2,2,2,2,2,2
1613,20221114,0,0,10,2,2,2,2,2,2,2,2,3,2,3,4
1614,20221114,1,1,7,3,2,2,2,2,2,2,2,3,2,2,1
1615,20221114,1,4,7,3,3,2,2,3,3,2,3,3,3,2,3
1616,20221114,1,4,7,4,2,3,4,3,2,3,2,3,3,3,4
1617,20221114,1,4,2,3,2,2,2,2,2,2,2,2,2,2,1
1618,20221114,1,3,5,4,2,2,2,2,2,2,2,2,2,4,3
1619,20221114,0,0,14,3,2,2,2,2,2,2,1,2,2,3,2
1620,20221114,1,4,1,1,2,2,3,2,2,2,2,2,2,2,3
1621,20221114,0,2,15,3,2,2,2,2,2,2,2,2,2,2,3
1622,20221114,0,2,8,3,2,2,4,2,2,3,2,3,3,2,4
1623,20221114,0,4,8,4,4,3,2,2,2,0,0,3,2,4,3
1625,20221114,0,1,7,2,2,2,2,2,2,2,2,2,2,2,0
1626,20221114,0,4,8,3,1,2,2,2,2,3,2,3,4,3,3
1627,20221114,0,3,3,2,0,0,0,0,0,0,0,0,0,0,0
1628,20221114,1,4,1,3,1,1,2,2,2,3,2,2,2,2,2
1629,20221114,1,1,9,2,3,2,2,2,2,2,2,2,2,3,3
1630,20221114,1,2,6,4,2,2,4,2,3,3,3,3,2,3,4
1631,20221114,1,0,8,1,1,3,2,3,2,2,2,3,2,2,1
1632,20221114,0,4,1,2,2,2,3,2,2,2,2,3,2,2,2
1633,20221114,0,0,14,3,2,2,3,2,2,2,2,2,2,3,3
1634,20221114,0,4,1,2,2,2,2,2,2,2,0,2,2,3,3
1635,20221114,0,0,12,4,3,2,3,2,2,2,2,2,2,3,4
1636,20221114,0,3,14,3,2,2,2,2,2,2,2,2,2,2,2
1637,20221114,0,1,15,2,1,2,2,2,2,2,2,2,2,2,1
1639,20221114,0,3,4,2,3,3,3,2,2,3,2,2,2,3,3
1640,20221114,1,2,1,3,2,2,3,2,2,3,2,2,4,3,4
1641,20221114,0,3,9,2,0,0,3,2,2,2,1,3,3,2,0
1642,20221114,1,3,8,2,2,2,3,2,2,2,2,2,2,3,3
1644,20221114,1,4,1,4,2,2,2,3,3,3,3,2,2,3,2
1645,20221114,0,0,1,2,1,2,4,1,3,1,2,3,2,3,4
1646,20221114,1,4,0,2,2,3,3,2,2,2,3,3,3,2,4
1647,20221114,0,3,2,3,2,2,2,3,3,2,2,3,3,2,2
1648,20221114,1,1,3,4,1,2,3,1,2,3,1,2,2,2,3
1649,20221114,1,0,4,1,2,2,2,2,2,2,2,2,2,3,0
1650,20221114,0,4,8,4,2,2,3,3,3,3,3,3,2,2,2
1651,20221114,0,1,11,2,1,2,2,1,2,1,2,1,1,2,2
1652,20221114,1,4,5,3,3,2,2,1,1,0,2,2,1,2,2
1653,20221114,0,4,2,4,2,1,2,1,0,2,0,2,0,1,2
1654,20221114,0,3,6,3,0,0,0,2,2,0,0,0,0,0,0
1655,20221114,0,1,1,4,2,1,3,2,3,1,2,2,1,2,3
1656,20221114,1,3,1,4,0,2,3,2,3,2,2,1,2,3,4
1657,20221114,1,3,1,4,3,0,3,0,2,0,0,2,0,3,3
1659,20221114,1,4,8,4,2,2,4,2,2,2,2,3,3,3,4
1660,20221114,1,0,12,4,4,2,4,1,1,1,1,1,2,3,4
1661,20221114,1,4,0,1,3,3,3,2,2,2,2,3,3,3,3
1662,20221114,0,4,11,3,2,2,2,2,2,2,2,2,2,3,2
1663,20221114,0,1,10,4,2,2,1,1,2,3,1,2,3,3,1
1664,20221114,0,1,1,2,2,2,2,2,2,2,2,2,2,3,2
1665,20221114,1,1,9,2,3,1,3,1,1,2,2,1,2,1,3
1666,20221114,1,2,5,2,3,3,3,2,2,2,2,2,2,4,4
1668,20221114,1,1,5,1,2,3,3,2,2,3,3,2,1,3,4
1669,20221114,1,3,10,3,3,2,3,2,2,2,2,3,2,3,3
1670,20221114,1,0,7,2,2,2,1,1,1,3,3,2,2,3,3
1671,20221114,0,2,8,3,4,4,3,3,3,0,2,0,1,3,0
1673,20221114,0,2,7,2,2,2,2,2,2,2,2,2,2,3,2
1674,20221114,1,1,6,4,2,3,2,1,2,2,2,2,2,2,2
1675,20221114,0,1,1,4,3,3,3,3,3,3,3,3,3,3,3
1676,20221114,0,2,8,2,2,1,4,2,2,3,1,2,2,3,0
1677,20221114,0,1,3,1,2,0,1,1,1,1,2,1,1,2,1
1678,20221114,1,1,8,4,2,1,2,1,1,1,1,1,1,2,2
1680,20221114,0,4,3,3,1,2,1,1,1,2,2,3,3,2,3
1681,20221114,0,0,1,3,1,1,1,2,3,0,0,2,2,3,1
1682,20221114,1,1,11,1,3,2,2,2,2,2,2,3,2,3,3
1684,20221114,0,2,14,4,2,2,3,2,2,2,2,2,2,4,2
1685,20221114,1,2,8,3,1,1,1,0,1,1,1,1,0,1,1
1686,20221114,0,1,1,2,2,2,4,3,3,1,3,2,2,3,3
1689,20221114,0,3,15,2,2,2,3,2,2,3,2,2,3,3,3
1690,20221114,0,2,12,4,4,2,3,0,0,0,0,0,2,1,2
1691,20221114,0,3,10,4,2,2,2,2,2,2,2,2,2,3,1
1692,20221114,0,2,12,2,2,1,0,1,1,1,1,3,4,1,1
1693,20221114,1,4,0,1,1,2,1,0,0,0,0,1,1,2,0
1694,20221114,1,4,1,1,2,3,2,3,2,2,2,2,2,3,3
1695,20221114,1,4,7,2,1,1,2,1,3,1,0,1,3,1,1
1696,20221114,1,3,3,4,4,3,1,1,1,1,1,1,2,3,2
1697,20221114,1,0,5,4,3,0,3,0,0,0,2,1,1,3,4
1699,20221114,1,2,8,4,2,3,3,2,2,2,2,3,2,2,2
1700,20221114,1,1,10,2,3,3,3,2,2,2,2,2,2,3,3
1701,20221114,0,4,2,4,3,2,2,2,2,4,2,2,1,1,1
1702,20221114,1,2,1,3,2,2,2,2,2,2,2,2,2,1,2
1703,20221114,1,4,5,3,2,3,2,1,2,2,2,2,2,3,3
1704,20221114,0,4,12,3,3,2,2,1,2,2,1,3,3,3,3
1705,20221114,1,0,8,3,2,2,3,2,2,1,2,2,3,2,3
1706,20221114,0,0,7,3,1,0,3,1,1,3,1,2,2,3,3
1707,20221114,1,3,6,2,3,3,2,2,2,3,1,2,2,3,2
1708,20221114,1,1,15,2,4,4,4,4,3,4,4,3,4,4,4
1709,20221114,0,2,8,3,2,2,1,2,2,3,2,2,2,2,3
1710,20221114,0,4,5,3,3,1,3,2,1,3,3,2,3,2,1
1711,20221114,1,1,14,4,2,2,4,2,2,2,2,2,2,3,3
1712,20221114,1,4,8,1,2,2,2,2,2,2,2,3,2,2,3
1714,20221114,1,4,0,2,3,3,3,3,3,3,3,3,3,2,1
1715,20221114,0,1,1,3,1,1,2,1,2,3,3,3,3,0,1
1716,20221114,1,0,11,2,4,1,2,1,2,2,1,4,2,4,2
1717,20221114,0,4,3,1,3,3,3,1,0,2,2,1,0,3,4
1718,20221114,0,1,1,2,2,2,3,2,2,2,2,2,2,3,3
1719,20221114,1,4,0,3,2,2,3,2,2,2,2,2,2,2,3
1720,20221114,1,1,13,3,4,3,3,2,3,3,3,2,2,4,0
1721,20221114,0,1,2,3,3,3,2,2,2,2,3,2,2,3,3
1722,20221114,0,3,15,2,3,2,4,2,4,0,0,2,4,3,2
1723,20221114,1,0,8,4,2,2,3,2,2,2,2,3,3,3,3
1724,20221114,1,2,8,3,2,3,4,0,0,2,3,4,2,4,4
1725,20221114,0,1,8,4,2,3,2,2,1,4,3,1,3,2,2
1726,20221114,1,4,8,4,2,3,3,3,3,3,3,2,4,4,4
1727,20221114,0,2,6,3,3,1,1,2,2,1,0,3,3,3,0
1728,20221114,1,4,2,1,2,2,3,2,2,2,3,3,2,2,2
1729,20221114,1,1,7,1,2,2,2,2,2,2,2,2,2,2,3
1730,20221114,1,3,1,4,2,2,3,3,2,3,3,1,2,2,3
1731,20221114,1,0,5,4,4,3,3,3,3,1,2,2,2,4,4
1732,20221114,0,1,2,3,2,0,2,0,0,2,0,0,0,0,0
1733,20221114,1,2,1,3,0,3,4,2,1,2,1,3,3,3,1
1734,20221114,1,2,3,4,4,4,4,2,2,3,3,2,2,4,4
1735,20221114,0,1,8,2,0,0,2,0,1,0,0,1,1,0,1
1736,20221114,1,4,3,2,3,3,3,4,3,3,3,4,3,3,3
1737,20221114,1,3,3,2,3,3,3,3,3,3,3,3,3,3,3
1738,20221114,0,1,2,4,3,3,2,1,1,3,2,1,1,3,3
1739,20221114,0,1,3,4,4,2,2,2,2,2,2,2,2,2,4
1740,20221114,0,3,10,2,1,2,3,1,1,1,1,3,2,3,1
1741,20221114,0,4,2,1,2,2,2,2,2,2,2,2,2,2,2
1742,20221114,1,3,8,3,3,2,3,2,2,2,2,2,2,3,3
1743,20221114,0,3,9,4,3,3,2,2,2,2,2,2,2,3,3
1744,20221114,1,3,1,2,3,3,4,4,3,2,1,3,2,4,4
1745,20221114,0,4,8,4,3,3,3,3,3,3,3,3,3,4,3
1746,20221114,1,2,12,4,3,1,3,1,1,1,0,1,1,1,2
1747,20221114,0,2,8,2,2,1,1,1,1,0,0,1,1,3,1
1748,20221114,0,3,8,2,2,2,3,2,2,3,3,2,2,2,1
1749,20221114,1,4,1,4,3,2,3,3,3,3,3,3,3,3,4
1750,20221121,1,3,8,3,2,2,4,2,2,3,2,2,2,4,4
1751,20221121,1,3,8,1,2,2,2,0,0,0,0,0,0,2,0
1752,20221121,1,3,8,3,2,3,2,2,2,3,3,2,2,2,2
1753,20221121,1,3,6,3,1,2,2,1,1,2,2,1,1,3,3
1754,20221121,1,3,2,4,3,2,3,2,2,2,2,2,2,2,3
1755,20221121,1,2,8,4,1,1,3,2,3,2,3,4,2,4,2
1756,20221121,1,2,8,3,3,2,4,3,0,2,3,4,4,4,4
1757,20221121,1,2,8,3,2,1,3,2,2,1,1,1,1,3,3
1758,20221121,1,2,8,3,2,2,2,2,2,1,1,3,2,3,3
1759,20221121,1,2,8,3,2,3,3,2,2,3,2,3,2,2,2
1760,20221121,1,2,8,2,2,2,2,1,2,2,1,1,2,2,1
1761,20221121,1,2,8,2,2,3,4,2,2,3,3,2,2,3,3
1762,20221121,1,2,9,1,2,2,2,2,2,2,2,2,2,2,3
1763,20221121,1,2,9,3,3,4,2,2,1,1,2,1,1,4,3
1764,20221121,1,1,1,4,3,2,3,0,0,0,0,0,0,1,2
1765,20221121,1,1,1,3,0,0,0,0,0,0,0,0,0,2,4
1766,20221121,1,1,1,4,2,1,3,2,2,2,2,3,2,2,3
1767,20221121,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2
1768,20221121,1,1,1,2,1,2,2,2,3,1,2,3,3,2,3
1769,20221121,1,1,1,3,2,3,4,2,2,4,2,2,2,2,4
1771,20221121,1,1,1,4,2,2,2,0,0,2,0,0,2,2,2
1772,20221121,1,1,14,2,4,3,4,1,2,2,1,3,3,4,4
1773,20221121,1,1,2,3,4,3,3,2,1,2,2,2,1,3,3
1774,20221121,1,1,2,2,4,2,3,3,1,3,3,1,1,3,4
1775,20221121,1,1,2,4,2,2,2,2,2,2,1,3,2,3,1
1776,20221121,1,1,2,2,2,2,2,2,2,2,1,2,2,2,1
1777,20221121,1,1,2,4,3,2,2,2,2,3,3,2,2,3,4
1778,20221121,1,0,8,4,2,2,2,2,2,2,2,2,2,3,3
1779,20221121,1,0,8,1,2,3,2,2,2,2,2,2,2,3,3
1781,20221121,1,0,5,4,3,2,1,1,1,1,1,3,3,2,2
1782,20221121,1,0,5,4,4,2,1,1,3,3,2,2,3,4,4
1783,20221121,1,0,5,4,1,1,4,0,2,1,3,1,1,3,3
1784,20221121,0,4,8,4,0,0,0,2,0,0,0,2,2,3,3
1785,20221121,0,4,8,4,2,2,2,1,2,1,1,1,1,2,2
1786,20221121,0,4,8,3,0,1,2,1,2,2,0,4,3,2,3
1787,20221121,0,4,8,1,2,2,4,2,3,3,1,2,2,2,3
1788,20221121,0,4,1,4,3,3,0,4,2,0,0,3,4,2,2
1789,20221121,0,4,1,4,2,2,3,2,2,2,2,2,2,3,3
1790,20221121,0,4,1,2,3,2,3,1,2,2,1,1,1,2,3
1791,20221121,0,3,8,4,2,2,4,2,2,2,2,2,2,3,4
1792,20221121,0,3,8,1,2,2,2,1,1,0,2,1,1,1,2
1793,20221121,0,3,8,2,0,0,0,0,0,0,0,0,0,0,0
1794,20221121,0,3,8,2,2,3,3,2,3,3,2,3,3,3,3
1795,20221121,0,3,8,4,1,2,3,2,2,3,2,2,2,3,4
1796,20221121,0,3,8,3,2,1,1,2,1,1,1,2,1,2,2
1797,20221121,0,3,8,2,2,2,3,2,2,2,2,3,2,3,1
1798,20221121,0,3,8,3,2,2,2,2,3,2,2,2,2,3,1
1799,20221121,0,2,8,4,4,2,4,2,2,2,2,2,2,2,3
1800,20221121,0,2,8,2,2,2,2,2,2,2,2,2,2,2,2
1801,20221121,0,2,8,2,2,2,3,2,2,3,3,3,3,3,3
1802,20221121,0,2,8,4,2,3,2,1,2,0,1,2,2,3,3
1803,20221121,0,2,7,3,2,2,2,2,2,3,2,2,2,3,3
1804,20221121,0,2,7,2,0,2,2,2,2,2,2,0,0,3,2
1805,20221121,0,2,7,3,2,3,4,2,2,3,0,1,1,1,3
1806,20221121,0,2,7,4,3,1,3,1,1,3,1,3,3,3,3
1807,20221121,0,2,10,3,0,0,0,0,0,0,0,0,0,0,0
1808,20221121,0,2,10,3,2,2,1,2,2,2,2,4,3,2,3
1809,20221121,0,1,8,4,2,2,2,1,2,1,3,1,1,3,2
1810,20221121,0,1,8,3,2,4,3,2,2,2,2,2,2,2,3
1811,20221121,0,1,8,3,0,3,3,2,2,3,2,0,2,2,2
1812,20221121,0,1,8,3,2,3,2,3,3,2,2,2,3,3,2
1813,20221121,0,1,8,2,0,0,3,2,2,2,2,3,1,3,3
1814,20221121,0,1,14,3,2,2,2,2,1,2,1,3,2,2,2
1815,20221121,0,1,14,4,2,3,2,3,2,2,2,2,2,2,1
1816,20221121,0,0,9,1,3,2,4,3,3,4,3,2,2,2,4
1817,20221121,0,0,12,4,2,1,3,1,2,3,2,2,2,3,3
1818,20221121,0,0,1,3,3,2,2,2,2,2,1,2,2,1,4
1819,20221121,0,0,3,2,4,4,4,2,2,2,4,2,2,3,3
1820,20221121,0,0,1,1,4,4,4,4,4,4,4,4,4,4,4
1821,20221121,0,0,1,1,4,1,0,0,0,0,0,0,3,4,4
1822,20221121,0,0,6,2,2,0,1,2,1,0,0,2,2,3,3
1824,20221121,0,0,1,1,2,3,3,2,3,3,3,3,1,3,3
1825,20221121,0,0,14,4,3,2,1,3,2,1,2,1,2,2,2
1826,20221121,0,0,6,1,3,2,3,2,1,2,3,2,2,2,4
1827,20221121,0,0,1,1,2,2,2,2,2,2,2,2,2,2,2
1828,20221121,0,0,3,1,4,0,4,2,0,2,0,3,3,3,4
1829,20221121,0,0,0,2,4,4,4,1,1,3,2,3,2,4,2
1830,20221121,0,0,3,3,2,2,3,2,2,3,2,2,1,2,4
1831,20221121,0,0,2,1,1,2,1,2,3,1,1,0,2,2,2
